                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.35277,                0.40525,                0.99029,                0.99065,                0.98135,                0.98788,                0.97646,                0.22324,                0.15738,                0.66945,              0.0001096,              0.0001096,              0.0001096
                     37,                0.34815,                0.40388,                0.99127,                0.99087,                0.98116,                0.98649,                0.97443,                 0.2208,                0.16018,                0.66691,             0.00010253,             0.00010253,             0.00010253
                     38,                0.34273,                0.39466,                0.98656,                0.98897,                0.98339,                0.98532,                0.97391,                0.22053,                0.15648,                0.66573,             9.5462e-05,             9.5462e-05,             9.5462e-05
                     39,                 0.3381,                0.38506,                0.98249,                0.99102,                0.98198,                0.98639,                0.97378,                 0.2205,                0.15504,                0.66514,             8.8393e-05,             8.8393e-05,             8.8393e-05
                     40,                0.33568,                  0.384,                0.98276,                0.99122,                0.98194,                0.98679,                0.97464,                0.22217,                0.15673,                0.66585,             8.1325e-05,             8.1325e-05,             8.1325e-05
                     41,                0.21219,                0.14997,                 0.9013,                0.99192,                0.98107,                0.98619,                0.97513,                0.21673,                0.15338,                0.66161,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     42,                0.20522,                0.14314,                0.89902,                0.98973,                0.98218,                0.98574,                0.97525,                0.21693,                0.15374,                0.66313,             6.7187e-05,             6.7187e-05,             6.7187e-05
                     43,                0.19861,                0.13492,                0.89259,                0.99047,                0.98097,                0.98782,                0.97796,                0.21438,                0.14811,                0.66038,             6.0119e-05,             6.0119e-05,             6.0119e-05
                     44,                0.19393,                0.13131,                0.88805,                0.99114,                0.98243,                0.98652,                0.97749,                0.21023,                 0.1459,                0.65627,              5.305e-05,              5.305e-05,              5.305e-05
                     45,                0.18999,                0.12875,                0.88905,                0.99102,                0.98289,                0.98857,                0.97879,                 0.2123,                0.14503,                0.65779,             4.5982e-05,             4.5982e-05,             4.5982e-05
                     46,                0.18616,                0.12582,                0.88353,                0.99126,                0.98184,                0.98776,                0.97855,                0.21301,                0.14413,                0.65681,             3.8913e-05,             3.8913e-05,             3.8913e-05
                     47,                0.18207,                0.12132,                0.88027,                0.99134,                0.98374,                0.98647,                0.97715,                0.21168,                0.14365,                0.65574,             3.1844e-05,             3.1844e-05,             3.1844e-05
                     48,                0.17932,                 0.1192,                0.88144,                0.99169,                0.98296,                0.98648,                0.97748,                0.21248,                0.14082,                0.65606,             2.4776e-05,             2.4776e-05,             2.4776e-05
                     49,                 0.1745,                 0.1153,                0.87494,                0.99199,                0.98304,                0.98668,                0.97815,                0.21291,                0.14135,                0.65662,             1.7707e-05,             1.7707e-05,             1.7707e-05
                     50,                0.17171,                0.11333,                0.87483,                0.99224,                0.98268,                 0.9869,                 0.9777,                0.21288,                0.13924,                0.65687,             1.0639e-05,             1.0639e-05,             1.0639e-05
